Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~0033.PrjPcb|ReportField=ProjectFullPath~E:\SVN\products\SENZ004_磁力传感器\pcb\0033.PrjPcb|ReportField=Title~Bill of Materials For Project [0033.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~9|ReportField=ReportTime~22:25:50|ReportField=ReportDate~2017/4/18|ReportField=ReportDateTime~2017/4/18 22:25:50|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/4/18|ReportField=CurrentTime~22:25:49|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SVN\products\SENZ004_磁力传感器\pcb\0033.SchDoc|ReportField=DocumentName~0033.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/3/20|ReportField=Organization~|ReportField=ProjectName~0033.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~0033.PrjPcb|ReportField=DataSourceFullPath~E:\SVN\products\SENZ004_磁力传感器\pcb\0033.PrjPcb
10nf||C|0402|CAP0402|1
sh-2.0||J|sh-2.0|sh-2.0|1
LED||L|0402|RES0402|1
1k||R1, R2|0402|RES0402|2
10K||R3|0402|RES0402|1
RA-901||U1|RA-901|RA-901|1
Via||V1, V2|Via|Via|2
